LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 6713.0, 262144, 193.0, 5626.0, 65536, 511.0, 7159.0, 1048576, -12583.0, -1.0, 65536, -12583.0, -1.0, 65536, 7159.0, 11254.0, 1048576,
1, 257.0, 3133.0, 131072, 193.0, 2046.0, 32768, 511.0, 3579.0, 524288, -12583.0, -1.0, 65536, -6292.0, -1.0, 32768, 3579.0, 5626.0, 524288,
2, 257.0, 1343.0, 65536, 193.0, 256.0, 16384, 511.0, 1789.0, 262144, -12583.0, -1.0, 65536, -6292.0, -1.0, 16384, 1789.0, 2812.0, 262144,
3, 257.0, 6713.0, 262144, 193.0, 5626.0, 65536, 511.0, 7159.0, 1048576, -12583.0, -1.0, 65536, -12583.0, -1.0, 65536, 7159.0, 11254.0, 1048576,
4, 257.0, 4665.0, 131072, 193.0, 4090.0, 65536, 511.0, 5111.0, 524288, -6292.0, -1.0, 32768, -12583.0, -1.0, 65536, 5111.0, 7158.0, 524288,
5, 257.0, 3641.0, 65536, 193.0, 3322.0, 65536, 511.0, 4087.0, 262144, -6292.0, -1.0, 16384, -12583.0, -1.0, 65536, 4087.0, 5110.0, 262144,
6, 257.0, 3129.0, 32768, 193.0, 2938.0, 65536, 511.0, 3575.0, 131072, -6292.0, -1.0, 8192, -12583.0, -1.0, 65536, 3575.0, 4086.0, 131072,
7, 257.0, 6777.0, 524288, 129.0, 5626.0, 131072, 511.0, 7159.0, 1048576, -18875.0, -1.0, 131072, -18875.0, -1.0, 131072, 7159.0, 11254.0, 1048576,
8, 257.0, 6713.0, 262144, 193.0, 5626.0, 65536, 511.0, 7159.0, 1048576, -12583.0, -1.0, 65536, -12583.0, -1.0, 65536, 7159.0, 11254.0, 1048576,
9, 257.0, 6681.0, 131072, 225.0, 5626.0, 32768, 511.0, 7159.0, 1048576, -6292.0, -1.0, 32768, -6292.0, -1.0, 32768, 7159.0, 11254.0, 1048576,
10, 257.0, 6650.0, 4096, 256.0, 5626.0, 1024, 511.0, 7159.0, 1048576, -6292.0, -1.0, 1024, -6292.0, -1.0, 1024, 7159.0, 11254.0, 1048576,
11, 257.0, 2046.0, 1024, 256.0, 1534.0, 512, 511.0, 2555.0, 262144, -6292.0, -1.0, 512, -6292.0, -1.0, 512, 2555.0, 3578.0, 262144,
12, 257.0, 512.0, 256, 256.0, 256.0, 256, 511.0, 1021.0, 65536, -6292.0, -1.0, 256, -6292.0, -1.0, 256, 1021.0, 1276.0, 65536,
